lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity
real,0,0,18508,22523,4.96009179143,6197,0.217540644211,0.3473757662
0,0,0,16451,20538,4.96217520442,6197,0.218409882981,0.330422391858
1,0,0,16709,20850,4.96758693189,6197,0.218530185217,0.327899684498
2,0,0,16789,20980,4.96467334149,6197,0.21533178722,0.330765283192
3,0,0,16839,21038,4.96218848684,6197,0.219929394829,0.334695055616
4,0,0,16791,21077,4.96383972628,6197,0.222806060989,0.330280244759
5,0,0,16849,21054,4.96044989594,6197,0.216657648237,0.326089679158
6,0,0,16731,20974,4.96201961777,6197,0.2204601761,0.325065790108
7,0,0,16256,20453,4.96412803296,6197,0.217329714769,0.321138211382
8,0,0,16740,20918,4.96188351201,6197,0.219775467677,0.332853684385
9,0,0,16758,21077,4.96360699741,6197,0.219159136682,0.330754333301
