lexicon,lev, length_count, neighbors
8,0,5,141
8,0,6,5
8,1,3,23767
8,1,4,6534
8,1,5,422
8,1,6,10
8,2,3,225592
8,2,4,58629
8,2,5,3527
8,2,6,164
8,2,7,10
8,3,3,1142555
8,3,4,387848
8,3,5,30486
8,3,6,1683
8,3,7,79
8,3,8,4
8,4,8,19
8,4,4,1541200
8,4,5,199739
8,4,6,13551
8,4,7,718
8,5,8,168
8,5,5,717195
8,5,6,75730
8,5,7,5369
8,6,8,1021
8,6,6,227658
8,6,7,25448
8,7,8,4607
8,7,7,63206
8,8,8,10291
9,0,3,1567
9,0,4,780
9,0,5,98
9,0,6,7
9,1,3,23446
9,1,4,5966
9,1,5,372
9,1,6,10
9,1,7,1
9,2,3,224364
9,2,4,55342
9,2,5,3548
9,2,6,154
9,2,7,10
9,3,3,1144238
9,3,4,373660
9,3,5,29974
9,3,6,1451
9,3,7,68
9,3,8,2
9,4,8,19
9,4,4,1559255
9,4,5,199486
9,4,6,13524
9,4,7,745
9,5,8,171
9,5,5,718032
9,5,6,77136
9,5,7,5263
9,6,8,1169
9,6,6,226519
9,6,7,25903
9,7,8,4730
9,7,7,62840
9,8,8,10019
10,0,3,1832
10,0,4,798
10,0,5,109
10,0,6,4
10,1,8,1
10,1,3,25405
10,1,4,5984
10,1,5,402
10,1,6,7
10,2,3,220184
10,2,4,59522
10,2,5,3450
10,2,6,153
10,2,7,7
10,3,3,1146194
10,3,4,374385
10,3,5,29416
10,3,6,1652
10,3,7,78
10,3,8,1
10,4,8,17
10,4,4,1554314
10,4,5,196253
10,4,6,14060
10,4,7,675
10,5,8,135
10,5,5,721880
10,5,6,78762
10,5,7,4954
10,6,8,1089
10,6,6,224163
10,6,7,24829
10,7,8,4829
10,7,7,64287
10,8,8,10038
11,0,3,1779
11,0,4,717
11,0,5,87
11,0,6,2
11,1,3,24981
11,1,4,6219
11,1,5,407
11,1,6,6
11,2,3,223368
11,2,4,58114
11,2,5,3321
11,2,6,164
11,2,7,13
11,3,3,1143487
11,3,4,377216
11,3,5,29354
11,3,6,1702
11,3,7,90
11,3,8,3
11,4,8,19
11,4,4,1552737
11,4,5,198988
11,4,6,14308
11,4,7,738
11,5,8,176
11,5,5,719353
11,5,6,79387
11,5,7,5216
11,6,8,1051
11,6,6,223232
11,6,7,25517
11,7,8,4777
11,7,7,63256
11,8,8,10084
12,0,3,1629
12,0,4,814
12,0,5,89
12,0,6,6
12,1,3,23762
12,1,4,6795
12,1,5,320
12,1,6,14
12,2,3,222946
12,2,4,60742
12,2,5,3408
12,2,6,128
12,2,7,9
12,2,8,1
12,3,3,1145278
12,3,4,388938
12,3,5,29474
12,3,6,1521
12,3,7,74
12,3,8,2
12,4,8,21
12,4,4,1537714
12,4,5,199554
12,4,6,13241
12,4,7,717
12,5,8,158
12,5,5,718665
12,5,6,77466
12,5,7,5292
12,6,8,1154
12,6,6,226425
12,6,7,25506
12,7,8,4662
12,7,7,63232
12,8,8,10112
13,0,3,1672
13,0,4,825
13,0,5,95
13,1,8,1
13,1,3,24571
13,1,4,6448
13,1,5,310
13,1,6,9
13,2,3,221341
13,2,4,58397
13,2,5,3154
13,2,6,172
13,2,7,11
13,3,3,1146031
13,3,4,384734
13,3,5,29107
13,3,6,1673
13,3,7,83
13,3,8,4
13,4,8,21
13,4,4,1544599
13,4,5,197471
13,4,6,14094
13,4,7,748
13,5,8,190
13,5,5,721373
13,5,6,78510
13,5,7,5564
13,6,8,1076
13,6,6,224343
13,6,7,25771
13,7,8,4726
13,7,7,62653
13,8,8,10092
14,0,3,1761
14,0,4,880
14,0,5,93
14,0,6,2
14,1,3,25096
14,1,4,6472
14,1,5,367
14,1,6,7
14,1,7,1
14,2,3,231582
14,2,4,58599
14,2,5,3514
14,2,6,162
14,2,7,7
14,2,8,1
14,3,3,1135176
14,3,4,377017
14,3,5,31007
14,3,6,1567
14,3,7,69
14,3,8,4
14,4,8,15
14,4,4,1552035
14,4,5,204146
14,4,6,13274
14,4,7,745
14,5,8,180
14,5,5,712383
14,5,6,75343
14,5,7,4998
14,6,8,1130
14,6,6,228446
14,6,7,25204
14,7,8,4674
14,7,7,63806
14,8,8,10106
15,0,3,1585
15,0,4,789
15,0,5,110
15,0,6,1
15,1,3,22700
15,1,4,6415
15,1,5,399
15,1,6,9
15,1,7,1
15,2,3,219642
15,2,4,57972
15,2,5,3478
15,2,6,113
15,2,7,10
15,3,3,1149688
15,3,4,378622
15,3,5,30428
15,3,6,1461
15,3,7,79
15,3,8,3
15,4,8,16
15,4,4,1551205
15,4,5,199505
15,4,6,12655
15,4,7,772
15,5,8,187
15,5,5,717590
15,5,6,76304
15,5,7,5418
15,6,8,1081
15,6,6,228258
15,6,7,25925
15,7,8,4600
15,7,7,62625
15,8,8,10223
16,0,3,1695
16,0,4,782
16,0,5,142
16,0,6,4
16,1,3,23068
16,1,4,6436
16,1,5,396
16,1,6,12
16,2,3,218881
16,2,4,59259
16,2,5,3807
16,2,6,145
16,2,7,8
16,3,3,1149971
16,3,4,382332
16,3,5,30009
16,3,6,1493
16,3,7,107
16,3,8,4
16,4,8,27
16,4,4,1546194
16,4,5,199676
16,4,6,13162
16,4,7,762
16,5,8,213
16,5,5,717480
16,5,6,76489
16,5,7,5477
16,6,8,1070
16,6,6,227496
16,6,7,25613
16,7,8,4745
16,7,7,62863
16,8,8,10051
17,0,3,1701
17,0,4,839
17,0,5,102
17,0,6,4
17,1,3,25696
17,1,4,6432
17,1,5,358
17,1,6,11
17,2,3,220719
17,2,4,56608
17,2,5,3416
17,2,6,150
17,2,7,6
17,3,3,1145499
17,3,4,376071
17,3,5,29869
17,3,6,1637
17,3,7,84
17,3,8,3
17,4,8,24
17,4,4,1555053
17,4,5,199699
17,4,6,13857
17,4,7,715
17,5,8,166
17,5,5,718066
17,5,6,77203
17,5,7,4996
17,6,8,1078
17,6,6,225939
17,6,7,25451
17,7,8,4869
17,7,7,63578
17,8,8,9970
18,0,3,1735
18,0,4,709
18,0,5,91
18,0,6,1
18,1,3,25637
18,1,4,6177
18,1,5,319
18,1,6,12
18,2,3,225004
18,2,4,56514
18,2,5,3148
18,2,6,127
18,2,7,8
18,3,3,1141239
18,3,4,381380
18,3,5,28953
18,3,6,1522
18,3,7,70
18,3,8,1
18,4,8,22
18,4,4,1550223
18,4,5,199549
18,4,6,13410
18,4,7,760
18,5,8,194
18,5,5,719450
18,5,6,76983
18,5,7,5354
18,6,8,1072
18,6,6,226746
18,6,7,25807
18,7,8,4902
18,7,7,62831
18,8,8,9919
19,0,3,1847
19,0,4,812
19,0,5,116
19,0,6,11
19,1,3,24070
19,1,4,6103
19,1,5,410
19,1,6,12
19,2,3,222990
19,2,4,58480
19,2,5,3525
19,2,6,149
19,2,7,10
19,2,8,2
19,3,3,1144708
19,3,4,380969
19,3,5,29732
19,3,6,1782
19,3,7,86
19,3,8,5
19,4,8,18
19,4,4,1548639
19,4,5,197139
19,4,6,14750
19,4,7,799
19,5,8,167
19,5,5,720588
19,5,6,79307
19,5,7,5626
19,6,8,1099
19,6,6,222790
19,6,7,26152
19,7,8,4642
19,7,7,62157
19,8,8,10177
20,0,3,1674
20,0,4,742
20,0,5,112
20,0,6,1
20,1,3,24569
20,1,4,6238
20,1,5,328
20,1,6,14
20,2,3,228312
20,2,4,57592
20,2,5,3305
20,2,6,135
20,2,7,11
20,3,3,1139060
20,3,4,379354
20,3,5,29719
20,3,6,1623
20,3,7,80
20,4,8,26
20,4,4,1551077
20,4,5,197029
20,4,6,13684
20,4,7,698
20,5,8,209
20,5,5,721017
20,5,6,77371
20,5,7,5145
20,6,8,1119
20,6,6,225973
20,6,7,25161
20,7,8,4628
20,7,7,63735
20,8,8,10128
21,0,3,1727
21,0,4,828
21,0,5,100
21,0,6,1
21,1,3,23993
21,1,4,6339
21,1,5,415
21,1,6,8
21,2,3,221559
21,2,4,55917
21,2,5,3370
21,2,6,149
21,2,7,13
21,3,3,1146336
21,3,4,375031
21,3,5,29816
21,3,6,1539
21,3,7,98
21,3,8,5
21,4,8,18
21,4,4,1556888
21,4,5,197219
21,4,6,13429
21,4,7,810
21,5,8,178
21,5,5,720590
21,5,6,77619
21,5,7,5940
21,6,8,1051
21,6,6,226056
21,6,7,26840
21,7,8,4486
21,7,7,61129
21,8,8,10372
22,0,3,1470
22,0,4,839
22,0,5,121
22,0,6,5
22,1,3,24203
22,1,4,6917
22,1,5,373
22,1,6,9
22,2,3,225787
22,2,4,61236
22,2,5,3257
22,2,6,112
22,2,7,12
22,2,8,1
22,3,3,1142155
22,3,4,383882
22,3,5,29036
22,3,6,1470
22,3,7,76
22,3,8,4
22,4,8,13
22,4,4,1542129
22,4,5,195259
22,4,6,13456
22,4,7,744
22,5,8,169
22,5,5,723464
22,5,6,77256
22,5,7,5063
22,6,8,985
22,6,6,226493
22,6,7,25297
22,7,8,4561
22,7,7,63638
22,8,8,10377
23,0,3,1683
23,0,4,797
23,0,5,114
23,0,6,4
23,1,3,25416
23,1,4,6291
23,1,5,337
23,1,6,11
23,2,3,226510
23,2,4,57901
23,2,5,3473
23,2,6,140
23,2,7,9
23,2,8,1
23,3,3,1140006
23,3,4,377144
23,3,5,30022
23,3,6,1534
23,3,7,94
23,3,8,1
23,4,8,28
23,4,4,1552870
23,4,5,200991
23,4,6,13495
23,4,7,784
23,5,8,174
23,5,5,716573
23,5,6,78710
23,5,7,5380
23,6,8,1097
23,6,6,224907
23,6,7,25527
23,7,8,4658
