lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words
real,0,0,18502,22427,4.85564857667,6104
0,0,0,14053,16726,4.89470082071,6104
1,0,0,14409,17205,4.89024433979,6104
2,0,0,14609,17369,4.89278858409,6104
3,0,0,14143,16893,4.8933720047,6104
4,0,0,14361,17174,4.89238340554,6104
5,0,0,14216,16863,4.89659990392,6104
6,0,0,14404,17094,4.89543553232,6104
7,0,0,14096,16736,4.89626521688,6104
8,0,0,14739,17515,4.89039622135,6104
9,0,0,14141,16862,4.89539038124,6104
10,0,0,14489,17225,4.89612793828,6104
11,0,0,14370,17043,4.89550387634,6104
12,0,0,14181,16756,4.89971189212,6104
13,0,0,14597,17322,4.89337452801,6104
14,0,0,14627,17321,4.89465362951,6104
15,0,0,14877,17794,4.8875521868,6104
16,0,0,14158,16831,4.89232005444,6104
17,0,0,14439,17036,4.89534829035,6104
18,0,0,14308,16959,4.89436038912,6104
19,0,0,14583,17294,4.89176889994,6104
20,0,0,14338,17082,4.89572233023,6104
21,0,0,14377,17050,4.89441509654,6104
22,0,0,14859,17637,4.89017454622,6104
23,0,0,14268,16950,4.89141740875,6104
24,0,0,14510,17271,4.8907988766,6104
25,0,0,14449,17221,4.88895181645,6104
26,0,0,14632,17408,4.89229680781,6104
27,0,0,14845,17711,4.89359609577,6104
28,0,0,13899,16543,4.8941556255,6104
29,0,0,14321,17094,4.89334440939,6104
