lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words
real,513,1096,27941,34269,4.87179860066,6780
0,979,2401,28268,35363,4.86559773132,6780
1,956,2350,27787,35190,4.87069359174,6780
2,984,2449,27966,35208,4.86711860896,6780
3,986,2390,27414,34844,4.86582335436,6780
4,1001,2455,27535,34490,4.86871811742,6780
5,952,2321,28264,35682,4.8631224922,6780
6,955,2343,27930,35389,4.8670655647,6780
7,981,2417,27976,35007,4.86841978155,6780
8,966,2371,27314,34667,4.87197265893,6780
9,972,2372,27021,33896,4.87132537974,6780
10,967,2412,28727,36026,4.87089915456,6780
11,1006,2458,27630,34732,4.86963705805,6780
12,955,2348,26476,33717,4.86963797186,6780
13,990,2417,27818,34889,4.86888586608,6780
14,956,2361,27346,34539,4.86729601785,6780
15,954,2365,27357,35072,4.8695977644,6780
16,972,2417,27807,35326,4.86946360899,6780
17,958,2387,29907,37319,4.86083702011,6780
18,972,2398,27964,35638,4.86363500677,6780
19,983,2420,27415,34668,4.86928150052,6780
20,986,2447,28959,36946,4.8610948004,6780
21,978,2403,27614,34683,4.86739584027,6780
22,973,2403,28786,36043,4.86312684366,6780
23,987,2407,26906,33969,4.86811413523,6780
24,968,2422,28717,36068,4.86532376361,6780
25,999,2462,28282,35458,4.86677754178,6780
26,981,2440,28027,35733,4.86090372794,6780
27,987,2433,28637,36167,4.86132581924,6780
28,970,2393,27983,35414,4.86534917612,6780
29,975,2411,27857,35448,4.86376219985,6780
