)bR	ombres
Eskydo	escudos
EspEs	espèces
EspRi	esprits
Espas	espaces
EspeRe	espérés
Espj)	espions
Espjone	espionnés
EspwaR	espoirs
Est)pe	estompés
EstRad	estrades
EstRopje	estropiés
Estetik	esthétiques
Estim	estimes
Estoma	estomacs
EtR	êtres
Etnik	ethniques
Ez	aises
Ez@s	aisances
N)	gnons
NOki	gnocchis
Nol	gnôle
ON)	oignons
OR	ort
ORZ	orges
ORbit	orbites
ORd	hordes
ORdR	ordres
ORdinER	ordinaires
ORdinat9R	ordinateurs
ORdone	ordonnés
ORdyR	ordures
ORf(l5	orphelins
ORf(lina	orphelinats
ORg	orgues
ORg9j	orgueils
ORgan	organes
ORgasm	orgasmes
ORk	orques
ORkEstR	orchestres
ORkide	orchidées
ORlOZ	horloges
ORmOn	hormones
ORmi	hormis
ORne	ornés
ORtEj	orteils
ORti	orties
ORtodOks	orthodoxes
ObZE	objets
Obi	hobby
Of	off
OfR	offres
OgR	ogres
OkE	hockey
OksiZEn	oxygènent
Oksid	oxydes
OktObR	octobre
OktRwaje	octroyés
Oktav	octaves
Om	hommes
OpsEk	obsèques
OpsEn	obscènes
OpskyR	obscurs
OpskyRsiR	obscurcir
OpsolEt	obsolètes
OpstRye	obstrués
Opstakl	obstacles
Opstine	obstinés
Opt(niR	obtenir
Opt@peRe	obtempéré
Opte	opté
Opty	obtus
Os	os
OskaR	oscars
Ospis	hospices
Ospitalite	hospitalité
Ospitalize	hospitalisés
Ostil	hostiles
Osto	hostos
Ot	hottes
Ov9Rdoz	overdoses
Ovni	ovnis
R(ZistR	registres
R(Zt)	rejetons
R(bRuse	rebroussés
R(flE	reflets
R(fyZ	refuges
R(gRE	regrets
R(k5	requins
R(k5ke	requinqués
R(k9j	recueils
R(kRyte	recrutés
R(keRiR	requérir
R(kuvRe	recouvrés
R(kyl	reculs
R(lEv	relèves
R(laks	relaxes
R(late	relatés
R(leje	relayés
R(liZj)	religions
R(lik	reliques
R(ljEf	reliefs
R(lyke	reluqués
R(mEd	remèdes
R(mORk	remorques
R(n)se	renoncée
R(naR	renards
R(nega	renégats
R(nifle	reniflées
R(p@tiR	repentirs
R(pORtaZ	reportages
R(pRoS	reprochés
R(peRaZ	repérages
R(peRe	repérés
R(poRtER	reporter
R(s(le	recelés
R(s(vwaR	recevoir
R(sase	ressassés
R(sikle	recyclés
R(t@tiR	retentirent
R(v@S	revanches
R(v@dike	revendiquée
R(vj5	revient
R)	ronds
R)Ze	rongés
R)fle	ronflé
R)pR	rompre
R5	reins
R5gaR	ringards
R5se	rincés
R8El	ruelles
R8in	ruines
