lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words
real,0,0,17435,20288,4.88122845307,5952
0,0,0,13325,15593,4.93713777887,5952
1,0,0,13455,15777,4.93402058794,5952
2,0,0,13346,15647,4.93668171338,5952
3,0,0,13311,15630,4.93580413882,5952
4,0,0,13567,15810,4.93528082386,5952
5,0,0,13647,16002,4.93280817763,5952
6,0,0,13390,15690,4.93813839004,5952
7,0,0,13833,16208,4.93250225181,5952
8,0,0,13734,16086,4.93251309304,5952
9,0,0,13397,15735,4.92961041155,5952
10,0,0,13092,15381,4.93240315624,5952
11,0,0,13432,15803,4.93407518931,5952
12,0,0,13342,15556,4.93310523848,5952
13,0,0,13587,15898,4.93465429141,5952
14,0,0,13186,15480,4.93548404036,5952
15,0,0,13448,15867,4.93441019446,5952
16,0,0,13330,15666,4.93490369604,5952
17,0,0,13450,15736,4.93796301064,5952
18,0,0,13461,15784,4.93241281171,5952
19,0,0,13140,15374,4.93694461309,5952
20,0,0,13522,15887,4.93509928981,5952
21,0,0,13366,15603,4.93342528047,5952
22,0,0,13023,15267,4.93681355849,5952
23,0,0,13463,15762,4.93233330939,5952
24,0,0,13232,15471,4.93102807109,5952
25,0,0,13801,16187,4.93230790027,5952
26,0,0,13141,15421,4.93614908175,5952
27,0,0,13356,15653,4.93507263847,5952
28,0,0,13389,15664,4.93402804128,5952
29,0,0,13186,15483,4.93172710424,5952
