lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words
real,0,0,18073,20534,4.800180443,5908
0,451,1113,16499,18339,4.80881793505,5908
1,445,1083,16171,17910,4.80804397752,5908
2,452,1100,15969,17775,4.80886630381,5908
3,432,1072,16281,18102,4.80786620512,5908
4,460,1119,16534,18312,4.80588514894,5908
5,455,1120,16420,18297,4.80778092939,5908
6,452,1118,16101,17890,4.80731907647,5908
7,448,1100,16652,18520,4.80650316878,5908
8,456,1098,16270,18016,4.80624969125,5908
9,466,1123,15974,17749,4.80782924084,5908
10,440,1092,16435,18145,4.80604710407,5908
11,438,1071,16136,18044,4.80776213205,5908
12,457,1106,16583,18416,4.80544948622,5908
13,458,1104,16282,18039,4.80767731479,5908
14,444,1105,16546,18331,4.80619415886,5908
15,444,1093,16338,18191,4.80635336316,5908
16,433,1067,16632,18417,4.80730537963,5908
17,451,1114,16414,18181,4.80612687814,5908
18,451,1127,16977,18810,4.80463306275,5908
19,424,1064,16667,18543,4.80700519529,5908
20,438,1100,16032,17817,4.80809830642,5908
21,459,1122,16508,18373,4.80672363636,5908
22,462,1121,16605,18467,4.80611610406,5908
23,443,1097,16388,18222,4.8073576454,5908
24,457,1103,16441,18325,4.80481352867,5908
25,451,1104,16285,18151,4.80748091698,5908
26,461,1134,16505,18294,4.80699533815,5908
27,455,1116,16483,18195,4.80844754723,5908
28,457,1097,16528,18386,4.80606131669,5908
29,425,1047,14536,16087,4.78703094743,5486
