lexicon,homophones,mps,neighbors,avg_lev,num_words
real,0,17435,20288,4.88122845307,5952
0,2,17307,20105,4.88251917993,5952
1,2,17325,20078,4.88217604387,5952
2,3,17267,20049,4.88231494707,5952
3,5,17264,20006,4.88196514817,5952
4,2,17291,20042,4.88197181101,5952
5,2,17290,20029,4.88174646034,5952
6,0,17282,20067,4.88228750522,5952
7,4,17334,20094,4.88186543149,5952
8,4,17305,20061,4.88236407137,5952
9,5,17275,20033,4.88255678543,5952
10,3,17314,20064,4.88172607658,5952
11,1,17274,20034,4.88207192294,5952
12,3,17302,20075,4.88244854258,5952
13,3,17253,20043,4.88232166637,5952
14,4,17300,20093,4.8818438055,5952
15,1,17326,20099,4.88221500453,5952
16,3,17268,20008,4.88264662079,5952
17,3,17261,20025,4.88195622675,5952
18,1,17315,20095,4.88252318893,5952
19,4,17326,20078,4.88188796091,5952
20,2,17293,20042,4.88229529735,5952
21,3,17318,20120,4.88201319964,5952
22,3,17232,20014,4.88200501226,5952
23,5,17297,20089,4.88197367434,5952
24,2,17289,20044,4.88171190394,5952
25,1,17316,20095,4.88222759616,5952
26,4,17303,20052,4.88237383976,5952
27,3,17348,20148,4.88225317467,5952
28,3,17322,20074,4.88190998215,5952
29,1,17287,20071,4.88208259477,5952
