lexicon,homophones,mps,neighbors,avg_lev,num_words
real,0,18502,22427,4.85564857667,6104
0,3,18364,22215,4.85621750169,6104
1,3,18343,22155,4.85645297448,6104
2,2,18360,22206,4.85613605796,6104
3,4,18349,22217,4.85638382516,6104
4,3,18433,22233,4.85632847348,6104
5,1,18364,22194,4.8566292838,6104
6,0,18402,22264,4.85654563888,6104
7,3,18360,22181,4.85648169723,6104
8,2,18346,22179,4.85636127646,6104
9,3,18369,22202,4.85644062639,6104
10,4,18321,22170,4.85662541831,6104
11,4,18422,22264,4.85684736188,6104
12,1,18360,22193,4.85659223951,6104
13,4,18442,22235,4.85640562223,6104
14,4,18373,22205,4.85646671845,6104
15,2,18389,22221,4.85644744469,6104
16,2,18380,22220,4.85697572837,6104
17,3,18331,22175,4.85645614204,6104
18,4,18371,22189,4.85663701478,6104
19,2,18362,22186,4.85657661649,6104
20,4,18386,22202,4.85679764738,6104
21,2,18378,22239,4.85662166019,6104
22,4,18389,22210,4.85654499463,6104
23,2,18380,22245,4.8559055781,6104
24,3,18365,22258,4.85636235021,6104
25,3,18379,22198,4.85662096225,6104
26,2,18418,22243,4.85649978987,6104
27,2,18330,22128,4.85665865078,6104
28,2,18355,22188,4.85664474576,6104
29,3,18388,22285,4.85674465795,6104
