lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words
real,0,0,18502,22427,4.85564857667,6104
0,0,0,20983,25429,4.73497430201,6104
1,0,0,21170,25536,4.7385036021,6104
2,0,0,20855,25147,4.7326566184,6104
3,0,0,21360,25897,4.7346900274,6104
4,0,0,20996,25349,4.7384164675,6104
5,0,0,21334,25721,4.73693496463,6104
6,0,0,21146,25553,4.7354094918,6104
7,0,0,21036,25395,4.73972332538,6104
8,0,0,20760,25193,4.73109023579,6104
9,0,0,21017,25437,4.74072754757,6104
10,0,0,21511,25931,4.73573800479,6104
11,0,0,20903,25351,4.73936233153,6104
12,0,0,21436,25877,4.7363469269,6104
13,0,0,21219,25694,4.73241953499,6104
14,0,0,21190,25582,4.73258628795,6104
15,0,0,21211,25689,4.7335281791,6104
16,0,0,21030,25383,4.73366196802,6104
17,0,0,21089,25498,4.7323718606,6104
18,0,0,21111,25541,4.73454281664,6104
19,0,0,20943,25279,4.73624642415,6104
20,0,0,20838,25295,4.73783240264,6104
21,0,0,21297,25703,4.73539354665,6104
22,0,0,21187,25704,4.73208935768,6104
23,0,0,20973,25499,4.73010931392,6104
24,0,0,20881,25340,4.7421208421,6104
25,0,0,20944,25433,4.73437230557,6104
26,0,0,21077,25694,4.7347550428,6104
27,0,0,21010,25561,4.72809227956,6104
28,0,0,21077,25437,4.73855825584,6104
29,0,0,21162,25615,4.734676874,6104
