lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words
real,463,974,25325,29300,4.80868800921,6463
0,721,1815,30725,36525,4.78427846284,6463
1,741,1867,30604,36426,4.78306689034,6463
2,735,1823,30106,35922,4.78495584201,6463
3,715,1798,29221,35058,4.78959654779,6463
4,738,1816,29805,35594,4.78390196549,6463
5,741,1819,29780,35241,4.79083192075,6463
6,726,1798,29999,35469,4.78360936834,6463
7,735,1817,30150,35929,4.78756302152,6463
8,705,1769,29954,35962,4.78752600391,6463
9,733,1778,28398,33814,4.79276579159,6463
10,700,1732,29231,34876,4.78913150508,6463
11,713,1797,29822,35586,4.78750684862,6463
12,767,1885,29567,35737,4.78246766478,6463
13,753,1831,29647,35369,4.788439951,6463
14,732,1872,30845,36492,4.78587323705,6463
15,738,1838,29169,34871,4.78689593833,6463
16,738,1796,28564,34171,4.78631112712,6463
17,703,1760,29819,35430,4.79161048777,6463
18,711,1788,30859,36814,4.78612943914,6463
19,717,1766,29727,35440,4.78426500625,6463
20,744,1810,27892,33352,4.79216647025,6463
21,702,1771,29787,35423,4.79007897394,6463
22,723,1777,29099,34632,4.78737247421,6463
23,714,1784,28876,34496,4.79155733183,6463
24,732,1795,27629,32917,4.79320095204,6463
25,699,1716,27911,33449,4.78855909694,6463
26,719,1792,28850,34373,4.78773297689,6463
27,741,1824,29636,35280,4.78975093948,6463
28,730,1817,29658,35516,4.78573828798,6463
29,705,1755,29001,34607,4.78892065316,6463
