lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words
real,463,974,25325,29300,4.80868800921,6463
0,480,1307,35790,42267,4.80633856421,6463
1,481,1287,36082,42645,4.8084722248,6463
2,473,1273,33896,40148,4.80919366115,6463
3,493,1320,35463,41973,4.80724384352,6463
4,469,1292,36790,42995,4.80786643855,6463
5,486,1275,34306,40195,4.81236501203,6463
6,504,1318,32959,39353,4.80369293045,6463
7,449,1212,33272,39434,4.80899660104,6463
8,503,1323,33388,39900,4.80568939122,6463
9,483,1303,34744,41287,4.8022339194,6463
10,454,1206,33395,39787,4.81134226286,6463
11,467,1265,33938,40603,4.81175367074,6463
12,474,1275,35526,42158,4.80581725282,6463
13,482,1309,35893,42239,4.81100905648,6463
14,488,1292,34831,41106,4.81044646542,6463
15,495,1338,37564,44456,4.80525719984,6463
16,480,1323,37870,44660,4.80587414405,6463
17,488,1311,33375,40013,4.80942285427,6463
18,491,1276,32199,38305,4.8135717957,6463
19,484,1296,35165,41455,4.80653581588,6463
20,459,1242,34377,40559,4.81149162629,6463
21,466,1259,34518,40982,4.80427271338,6463
22,525,1377,33664,40032,4.80685206982,6463
23,471,1249,31588,37916,4.80931879312,6463
24,448,1200,33783,40276,4.81073824848,6463
25,479,1307,35872,42599,4.8066790975,6463
26,483,1302,35612,41951,4.80484425954,6463
27,485,1322,37636,44724,4.80351583973,6463
28,470,1276,34175,40420,4.80861033448,6463
29,465,1264,34066,40188,4.80686049815,6463
