lexicon,clustering
real,0.215475143032
0,0.152735024871
1,0.160756859208
2,0.158402273328
3,0.160790326737
4,0.158571216106
5,0.157650171744
6,0.158800536731
7,0.153576026921
8,0.158256651036
9,0.163224674433
10,0.154594959243
11,0.163300989956
12,0.159017603343
13,0.162258956735
14,0.155284195621
15,0.15748976069
16,0.162492006878
17,0.160665137427
18,0.15600768264
19,0.157109932036
20,0.162774444486
21,0.163809392835
22,0.160448555321
23,0.160351031021
24,0.1591189185
25,0.160289432771
26,0.154942447757
27,0.158206901789
28,0.155359034435
29,0.161602158596
