lexicon,clustering
real,0.215475143032
0,0.205862346995
1,0.197277446034
2,0.204673840357
3,0.200633065848
4,0.204834521028
5,0.206224933767
6,0.203598737722
7,0.19943003212
8,0.201035263725
9,0.205676154719
10,0.201050567478
11,0.19447983281
12,0.199219899876
13,0.1997806619
14,0.205347824552
15,0.207526035057
16,0.203220259476
17,0.203677751118
18,0.200655855235
19,0.206220575186
20,0.204492158524
21,0.202296671988
22,0.203119916875
23,0.20523942681
24,0.20008908884
25,0.20564198674
26,0.202950203689
27,0.202201553591
28,0.19809155477
29,0.201959670538
