lexicon,clustering
real,0.215475143032
0,0.0982696855108
1,0.0998591686672
2,0.104722769453
3,0.106279929854
4,0.107195051739
5,0.105185961032
6,0.10248030745
7,0.101986013211
8,0.101008849723
9,0.102899965011
10,0.100958005311
11,0.102045439823
12,0.0990728250958
13,0.10317767786
14,0.101358916525
15,0.100540156039
16,0.101232619311
17,0.0992080806526
18,0.104306603298
19,0.103330276671
20,0.100049937496
21,0.0988753442164
22,0.098379892807
23,0.104877739873
24,0.0984828865764
25,0.104603198441
26,0.103068669203
27,0.10255732315
28,0.100455311845
29,0.100536641781
