lexicon,clustering
real,0.174396831259
0,0.104760922259
1,0.108741630325
2,0.102966578125
3,0.105546674017
4,0.108293916501
5,0.101021055498
6,0.100048993147
7,0.0991949633558
8,0.105292492996
9,0.10195289134
10,0.101791851422
11,0.10329875753
12,0.099357356351
13,0.10831350461
14,0.104884208234
15,0.102998231552
16,0.0982290360561
17,0.0975608246169
18,0.103636652992
19,0.105991878046
20,0.103289851173
21,0.100220718873
22,0.11015211862
23,0.107331410931
24,0.105892507829
25,0.103331206175
26,0.105758127211
27,0.102432462892
28,0.101604970993
29,0.105589722258
