lexicon,clustering
real,0.215475143032
0,0.19015774439
1,0.197183329069
2,0.191593869567
3,0.196860554706
4,0.196148510442
5,0.195941418451
6,0.191080685883
7,0.191487179149
8,0.193552038806
9,0.195221456581
10,0.198109895398
11,0.195647525569
12,0.196162124289
13,0.201199025036
14,0.193557092415
15,0.196235436697
16,0.196097695389
17,0.197947909817
18,0.192257896972
19,0.195160288267
20,0.195458178265
21,0.193886082164
22,0.197025145986
23,0.19848641274
24,0.196991690495
25,0.199266908201
26,0.19528760863
27,0.19699609321
28,0.19700213442
29,0.199166082074
