lexicon,clustering
real,0.215475143032
0,0.101889885864
1,0.0969453549995
2,0.101261209058
3,0.100683502761
4,0.100962604293
5,0.101285199878
6,0.0995541216405
7,0.104091347729
8,0.102575188869
9,0.100277129978
10,0.0985813602231
11,0.0938349821101
12,0.105711260682
13,0.0987924841192
14,0.103356667866
15,0.103823040396
16,0.104741418121
17,0.0974988812385
18,0.0977258478004
19,0.100321863787
20,0.100446617817
21,0.10130937858
22,0.0958730381913
23,0.100711799934
24,0.0991141946417
25,0.0990234788839
26,0.106520981504
27,0.0989731886125
28,0.0946750649932
29,0.100017124944
