lexicon,clustering
real,0.215475143032
0,0.170441581658
1,0.178159453552
2,0.176777857093
3,0.180673580165
4,0.18050560822
5,0.175705602009
6,0.172732524385
7,0.180309182047
8,0.173076473424
9,0.177151832119
10,0.177364064743
11,0.173325014407
12,0.179551269245
13,0.179894915523
14,0.179237712696
15,0.172845996725
16,0.175772619596
17,0.175270651839
18,0.175415211464
19,0.182438449867
20,0.174552037764
21,0.180121807659
22,0.180742727489
23,0.175553269728
24,0.173026913674
25,0.182145708445
26,0.180958005456
27,0.172369744195
28,0.173101001249
29,0.172742325697
