lexicon,clustering
real,0.215475143032
0,0.155473817351
1,0.157394118706
2,0.152765867471
3,0.160743071551
4,0.157842542256
5,0.151536043159
6,0.154684489102
7,0.152713282008
8,0.157369855911
9,0.16070413239
10,0.155655991196
11,0.156943227486
12,0.156110310946
13,0.15993982522
14,0.158269743316
15,0.15668680755
16,0.15191850723
17,0.152855526663
18,0.15363012304
19,0.154292095605
20,0.1535100739
21,0.156869360465
22,0.154215757816
23,0.151422842229
24,0.156872874232
25,0.155481328791
26,0.160009327306
27,0.154694934871
28,0.155754472586
29,0.156761895367
