lexicon,clustering
real,0.215475143032
0,0.222467517879
1,0.222179038962
2,0.224461631756
3,0.223023748637
4,0.222501676518
5,0.222068109764
6,0.22514186122
7,0.223182599314
8,0.225268286032
9,0.223395197135
10,0.221541984705
11,0.22317528928
12,0.222784690549
13,0.224173272607
14,0.223367498277
15,0.224096033776
16,0.22681475306
17,0.224155210538
18,0.225007143202
19,0.227320728391
20,0.219882926134
21,0.226897717564
22,0.223010013534
23,0.223378204883
24,0.2203438461
25,0.222974898023
26,0.225599700998
27,0.226155038047
28,0.225519085007
29,0.227013107971
