lexicon,clustering
real,0.215475143032
0,0.170587432601
1,0.17232535486
2,0.172230161404
3,0.175216410305
4,0.168070542305
5,0.166736840811
6,0.164349437554
7,0.168048784254
8,0.167720086482
9,0.165745550979
10,0.17108167071
11,0.163404689469
12,0.171880738012
13,0.168585969542
14,0.170107418472
15,0.169262457665
16,0.166171982297
17,0.169756426721
18,0.169987780985
19,0.168142302125
20,0.171009137934
21,0.168958552933
22,0.161582964405
23,0.167503226482
24,0.169893376626
25,0.162815821841
26,0.162516740278
27,0.164434876553
28,0.167634465848
29,0.171680414117
