lexicon,clustering
real,0.215475143032
0,0.20436363128
1,0.195571253062
2,0.207608596968
3,0.202754029396
4,0.209155275833
5,0.207364674392
6,0.204147360471
7,0.198019931871
8,0.202253257501
9,0.198108504976
10,0.196330590632
11,0.199395632793
12,0.200068136856
13,0.207700255539
14,0.203733556425
15,0.206021093124
16,0.202003049499
17,0.201123978326
18,0.198179966592
19,0.203239507015
20,0.201807746749
21,0.205245297832
22,0.208509329706
23,0.202175522987
24,0.195108558273
25,0.200229603795
26,0.202204534529
27,0.191904756487
28,0.203409845406
29,0.198506782678
