lexicon,clustering
real,0.215475143032
0,0.157410885254
1,0.159003576086
2,0.160930629674
3,0.162331628215
4,0.158977164499
5,0.156583316874
6,0.161842791695
7,0.154102209623
8,0.15516695709
9,0.159212909545
10,0.156557451158
11,0.15475940433
12,0.158984393793
13,0.153463426146
14,0.158287316564
15,0.162029712232
16,0.15423650963
17,0.160989091897
18,0.160074962979
19,0.157803602682
20,0.160332411165
21,0.157802442044
22,0.153099044732
23,0.156746747375
24,0.156332197052
25,0.15507941744
26,0.164088959193
27,0.154029769628
28,0.16418453521
29,0.156551977261
