lexicon,clustering
real,0.174396831259
0,0.131687367324
1,0.133513031584
2,0.13020744984
3,0.136732661625
4,0.135798140666
5,0.130099676652
6,0.13895869173
7,0.127132561249
8,0.134991505703
9,0.130402496245
10,0.132840086773
11,0.133462803303
12,0.129882219936
13,0.134839779793
14,0.132746600303
15,0.125419988562
16,0.130246775366
17,0.130703199734
18,0.126325193818
19,0.130369797517
20,0.13004173674
21,0.134463129471
22,0.126860473037
23,0.118759111715
24,0.126084917427
25,0.133890476454
26,0.131650308817
27,0.119960319971
28,0.131642641268
29,0.131784368049
