lexicon,clustering
real,0.215475143032
0,0.167294736997
1,0.163599098823
2,0.16032011904
3,0.162717301585
4,0.160107567911
5,0.160105834312
6,0.163667932458
7,0.161879443092
8,0.161087403196
9,0.16230746574
10,0.160154570659
11,0.164467395375
12,0.155638894619
13,0.164549480327
14,0.158574755869
15,0.159649282214
16,0.15975668427
17,0.160095669499
18,0.158272770245
19,0.168182761736
20,0.161253291038
21,0.159769336212
22,0.1590487458
23,0.162394184475
24,0.162583563593
25,0.161607156859
26,0.162873110003
27,0.159592405465
28,0.157699630432
29,0.164270277577
