lexicon,clustering
real,0.215475143032
0,0.151710789625
1,0.149401498241
2,0.156020381623
3,0.147486870187
4,0.150748560842
5,0.151292296983
6,0.148324095223
7,0.152363434448
8,0.145963502433
9,0.153518334515
10,0.150513315679
11,0.150895546492
12,0.146879578745
13,0.154989422852
14,0.146004201704
15,0.145936328426
16,0.149842736354
17,0.151721740936
18,0.15243744122
19,0.149540554987
20,0.147883217955
21,0.143166454836
22,0.151755582598
23,0.14720632761
24,0.145801418999
25,0.147462285322
26,0.144998353885
27,0.148811338905
28,0.146447091883
29,0.152671735375
