lexicon,clustering
real,0.174396831259
0,0.165282425681
1,0.174234263454
2,0.164858442718
3,0.164297043729
4,0.160792045755
5,0.151934217211
6,0.165622271016
7,0.163110236842
8,0.168869094642
9,0.170359981308
10,0.168977015657
11,0.170602693046
12,0.161085313963
13,0.171364661736
14,0.154086808725
15,0.162385566863
16,0.161255694716
17,0.15894967776
18,0.160698060006
19,0.166995015657
20,0.163733615832
21,0.163845735213
22,0.164938328806
23,0.162312139494
24,0.158905597537
25,0.159142870804
26,0.171906814328
27,0.164633451904
28,0.168479762506
29,0.175923347355
