lexicon,clustering
real,0.174396831259
0,0.186060967732
1,0.179639293003
2,0.193475175775
3,0.195464313744
4,0.190100110612
5,0.19027019871
6,0.191190524352
7,0.188083429298
8,0.185636551228
9,0.182227370446
10,0.186855978149
11,0.198576986601
12,0.189009863626
13,0.196578408021
14,0.19557094065
15,0.192661485936
16,0.1968782476
17,0.194079791927
18,0.19523713496
19,0.188925134406
20,0.18560273918
21,0.19343935554
22,0.184353970473
23,0.195494253168
24,0.191155617432
25,0.194732080931
26,0.190329460644
27,0.18715593425
28,0.188754643735
29,0.193439821935
