lexicon,clustering
real,0.174396831259
0,0.0825361158426
1,0.0945376067213
2,0.0860947845046
3,0.0874787457669
4,0.0822132607111
5,0.0897782343125
6,0.0888905528934
7,0.0882035545991
8,0.0914791043937
9,0.0826448732661
10,0.0850207095491
11,0.085405385899
12,0.0839261342576
13,0.0856382972414
14,0.0802684344547
15,0.08228371049
16,0.0845018448262
17,0.0886461405611
18,0.0849217913543
19,0.0878845002802
20,0.0885752860418
21,0.089717518026
22,0.0858267631654
23,0.0895402397918
24,0.093843345934
25,0.0845666330546
26,0.0956869629002
27,0.0844587164563
28,0.0938638715339
29,0.0898132947638
