lexicon,clustering
real,0.215475143032
0,0.173390057003
1,0.185705169156
2,0.176918266225
3,0.178392525219
4,0.176351282007
5,0.177463890291
6,0.180876599756
7,0.179081705279
8,0.174631416505
9,0.176901310019
10,0.171931055021
11,0.169867211493
12,0.173351339961
13,0.176300785049
14,0.175509131002
15,0.172346421669
16,0.176507219599
17,0.175531886337
18,0.178045368796
19,0.177439925859
20,0.178282272273
21,0.174382415106
22,0.173119773075
23,0.168664516612
24,0.181105719651
25,0.169479584614
26,0.179367319152
27,0.179312582364
28,0.178743977332
29,0.172739136337
