lexicon,clustering
real,0.174396831259
0,0.186087288707
1,0.19015535456
2,0.188513603516
3,0.180163600188
4,0.187079388986
5,0.185346829432
6,0.186161448701
7,0.185391569537
8,0.186108264632
9,0.183444666917
10,0.183256699086
11,0.187700065834
12,0.18641443898
13,0.186672737492
14,0.184497745115
15,0.183883810177
16,0.183647528973
17,0.184281426698
18,0.183208526878
19,0.185705242028
20,0.189201894036
21,0.186644911967
22,0.185375323484
23,0.186358072759
24,0.188090228077
25,0.18553725872
26,0.191254065059
27,0.185910023484
28,0.186346801848
29,0.188460896439
