lexicon,clustering
real,0.215475143032
0,0.213918752713
1,0.212656657015
2,0.217771642215
3,0.212671319472
4,0.214867051573
5,0.21775695919
6,0.221572615126
7,0.214762933491
8,0.216526196708
9,0.213693379219
10,0.218448849432
11,0.210450410522
12,0.218313816573
13,0.216193726489
14,0.211074514429
15,0.215937317101
16,0.214831044583
17,0.21520785145
18,0.213736784533
19,0.216735047182
20,0.219783365963
21,0.215053618343
22,0.217934145777
23,0.211242132829
24,0.215183593904
25,0.22119440143
26,0.216458336025
27,0.219384571771
28,0.214225782408
29,0.216261247475
