lexicon,lev, length_count, neighbors
real,0,2,94
real,0,3,303
real,0,4,183
real,0,5,54
real,0,6,18
real,0,7,2
real,0,8,1
real,1,2,2599
real,1,3,17107
real,1,4,6953
real,1,5,1126
real,1,6,118
real,1,7,19
real,1,8,2
real,2,2,21617
real,2,3,215976
real,2,4,60291
real,2,5,8751
real,2,6,717
real,2,7,57
real,2,8,11
real,3,3,1160229
real,3,4,376449
real,3,5,54834
real,3,6,4738
real,3,7,428
real,3,8,29
real,4,8,136
real,4,4,1551127
real,4,5,245566
real,4,6,25807
real,4,7,2290
real,5,8,594
real,5,5,641179
real,5,6,95731
real,5,7,10529
real,6,8,2296
real,6,6,191672
real,6,7,32651
real,7,8,6047
real,7,7,48854
real,8,8,6994
0,0,2,128
0,0,3,1101
0,0,4,103
0,0,5,6
0,1,2,2282
0,1,3,29494
0,1,4,3394
0,1,5,159
0,1,6,6
0,2,2,21900
0,2,3,292655
0,2,4,47991
0,2,5,3563
0,2,6,126
0,2,7,7
0,3,3,1070365
0,3,4,385341
0,3,5,40254
0,3,6,1742
0,3,7,79
0,3,8,3
0,4,8,22
0,4,4,1558174
0,4,5,244994
0,4,6,15956
0,4,7,965
0,5,8,195
0,5,5,662534
0,5,6,86675
0,5,7,7021
0,6,8,1338
0,6,6,214296
0,6,7,30268
0,7,8,5378
0,7,7,56490
0,8,8,9174
1,0,2,147
1,0,3,1012
1,0,4,81
1,0,5,2
1,1,2,2505
1,1,3,29693
1,1,4,2990
1,1,5,181
1,1,6,4
1,2,2,21658
1,2,3,296930
1,2,4,47402
1,2,5,3492
1,2,6,113
1,2,7,4
1,3,3,1065980
1,3,4,390544
1,3,5,39091
1,3,6,1958
1,3,7,69
1,4,8,21
1,4,4,1553986
1,4,5,241906
1,4,6,17096
1,4,7,841
1,5,8,233
1,5,5,666838
1,5,6,89970
1,5,7,6622
1,6,8,1405
1,6,6,209660
1,6,7,28643
1,7,8,5298
1,7,7,58651
1,8,8,9153
2,0,2,137
2,0,3,1021
2,0,4,88
2,0,5,1
2,0,6,1
2,1,2,2238
2,1,3,30223
2,1,4,3132
2,1,5,141
2,1,6,5
2,1,7,1
2,2,2,21935
2,2,3,300046
2,2,4,48008
2,2,5,3148
2,2,6,146
2,2,7,4
2,3,3,1062325
2,3,4,383826
2,3,5,36618
2,3,6,1839
2,3,7,75
2,3,8,3
2,4,8,23
2,4,4,1559949
2,4,5,237433
2,4,6,17152
2,4,7,860
2,5,8,227
2,5,5,674169
2,5,6,89807
2,5,7,6452
2,6,8,1498
2,6,6,209851
2,6,7,29186
2,7,8,5487
2,7,7,58252
2,8,8,8872
3,0,2,158
3,0,3,911
3,0,4,103
3,0,5,3
3,1,2,2587
3,1,3,27914
3,1,4,3173
3,1,5,167
3,1,6,2
3,1,7,1
3,2,2,21565
3,2,3,284955
3,2,4,48003
3,2,5,3299
3,2,6,130
3,2,7,5
3,3,3,1079835
3,3,4,393012
3,3,5,38484
3,3,6,1806
3,3,7,66
3,3,8,3
3,4,8,37
3,4,4,1550712
3,4,5,240990
3,4,6,16439
3,4,7,814
3,5,8,231
3,5,5,668567
3,5,6,88451
3,5,7,6567
3,6,8,1404
3,6,6,211973
3,6,7,29363
3,7,8,5433
3,7,7,58014
3,8,8,9002
4,0,2,159
4,0,3,1039
4,0,4,91
4,0,5,4
4,1,2,2531
4,1,3,29449
4,1,4,3348
4,1,5,176
4,1,6,4
4,2,2,21620
4,2,3,291296
4,2,4,48782
4,2,5,3267
4,2,6,102
4,2,7,4
4,2,8,1
4,3,3,1071831
4,3,4,396342
4,3,5,38143
4,3,6,1767
4,3,7,73
4,3,8,1
4,4,8,23
4,4,4,1546440
4,4,5,238578
4,4,6,16455
4,4,7,887
4,5,8,204
4,5,5,671342
4,5,6,88043
4,5,7,6451
4,6,8,1451
4,6,6,212430
4,6,7,29273
4,7,8,5485
4,7,7,58142
4,8,8,8945
5,0,2,148
5,0,3,946
5,0,4,82
5,0,5,8
5,1,2,2655
5,1,3,29481
5,1,4,3076
5,1,5,189
5,1,6,4
5,2,2,21507
5,2,3,299216
5,2,4,47566
5,2,5,3640
5,2,6,113
5,2,7,2
5,3,3,1063972
5,3,4,392200
5,3,5,39940
5,3,6,1758
5,3,7,87
5,4,8,25
5,4,4,1552079
5,4,5,243009
5,4,6,16269
5,4,7,966
5,5,8,205
5,5,5,664724
5,5,6,88277
5,5,7,6941
5,6,8,1342
5,6,6,212380
5,6,7,30014
5,7,8,5366
5,7,7,56820
5,8,8,9172
6,0,2,159
6,0,3,888
6,0,4,83
6,0,5,4
6,1,2,2442
6,1,3,28181
6,1,4,3130
6,1,5,173
6,1,6,5
6,2,2,21709
6,2,3,290573
6,2,4,47802
6,2,5,3437
6,2,6,101
6,2,7,2
6,3,3,1073973
6,3,4,391347
6,3,5,39810
6,3,6,1718
6,3,7,65
6,4,8,22
6,4,4,1552641
6,4,5,246135
6,4,6,15529
6,4,7,892
6,5,8,211
6,5,5,661951
6,5,6,86376
6,5,7,6512
6,6,8,1388
6,6,6,215072
6,6,7,29354
6,7,8,5511
6,7,7,58005
6,8,8,8978
7,0,2,134
7,0,3,992
7,0,4,79
7,0,5,6
7,1,2,2554
7,1,3,29268
7,1,4,2922
7,1,5,179
7,1,6,10
7,2,2,21622
7,2,3,292851
7,2,4,45902
7,2,5,3730
7,2,6,145
7,2,7,5
7,3,3,1070504
7,3,4,387855
7,3,5,41226
7,3,6,2045
7,3,7,68
7,3,8,4
7,4,8,26
7,4,4,1558245
7,4,5,250750
7,4,6,17934
7,4,7,864
7,5,8,277
7,5,5,655619
7,5,6,91440
7,5,7,6316
7,6,8,1595
7,6,6,207227
7,6,7,28672
7,7,8,5646
7,7,7,58905
7,8,8,8562
8,0,2,162
8,0,3,976
8,0,4,80
8,0,5,6
8,1,2,2705
8,1,3,28461
8,1,4,3074
8,1,5,159
8,1,6,2
8,2,2,21443
8,2,3,288588
8,2,4,46483
8,2,5,3394
8,2,6,127
8,2,7,4
8,3,3,1075590
8,3,4,384969
8,3,5,39134
8,3,6,1889
8,3,7,72
8,3,8,1
8,4,8,23
8,4,4,1560397
8,4,5,242126
8,4,6,16795
8,4,7,832
8,5,8,212
8,5,5,666691
8,5,6,89914
8,5,7,6557
8,6,8,1433
8,6,6,210074
8,6,7,29476
8,7,8,5203
8,7,7,57889
8,8,8,9238
9,0,2,159
9,0,3,938
9,0,4,95
9,0,5,2
9,1,2,2693
9,1,3,28990
9,1,4,3389
9,1,5,153
9,1,6,9
9,2,2,21458
9,2,3,290186
9,2,4,49774
9,2,5,3624
9,2,6,108
9,2,7,4
9,3,3,1073501
9,3,4,399509
9,3,5,39851
9,3,6,1723
9,3,7,85
9,3,8,1
9,4,8,21
9,4,4,1542236
9,4,5,247139
9,4,6,16215
9,4,7,989
9,5,8,204
9,5,5,660741
9,5,6,88956
9,5,7,7059
9,6,8,1344
9,6,6,211790
9,6,7,30431
9,7,8,5411
9,7,7,56262
9,8,8,9129
10,0,2,152
10,0,3,973
10,0,4,86
10,0,5,6
10,1,2,2507
10,1,3,29866
10,1,4,3013
10,1,5,160
10,1,6,9
10,1,7,1
10,2,2,21651
10,2,3,293217
10,2,4,46326
10,2,5,3123
10,2,6,125
10,2,7,6
10,3,3,1069559
10,3,4,387430
10,3,5,37187
10,3,6,1714
10,3,7,70
10,3,8,3
10,4,8,33
10,4,4,1558148
10,4,5,235027
10,4,6,16133
10,4,7,840
10,5,8,198
10,5,5,676007
10,5,6,87861
10,5,7,6422
10,6,8,1430
10,6,6,212959
10,6,7,28827
10,7,8,5418
10,7,7,58664
10,8,8,9028
11,0,2,136
11,0,3,889
11,0,4,85
11,0,5,6
11,1,2,2549
11,1,3,28457
11,1,4,3139
11,1,5,183
11,1,6,1
11,2,2,21625
11,2,3,293195
11,2,4,47083
11,2,5,3758
11,2,6,110
11,2,7,2
11,3,3,1071074
11,3,4,388717
11,3,5,40656
11,3,6,1705
11,3,7,75
11,3,8,3
11,4,8,28
11,4,4,1555979
11,4,5,246032
11,4,6,16314
11,4,7,857
11,5,8,239
11,5,5,660875
11,5,6,89044
11,5,7,6810
11,6,8,1543
11,6,6,211627
11,6,7,29855
11,7,8,5554
11,7,7,57231
11,8,8,8743
12,0,2,137
12,0,3,1028
12,0,4,94
12,0,5,6
12,0,6,1
12,1,2,2488
12,1,3,30341
12,1,4,3232
12,1,5,172
12,1,6,10
12,2,2,21685
12,2,3,297660
12,2,4,48678
12,2,5,3718
12,2,6,141
12,2,7,4
12,3,3,1064586
12,3,4,391966
12,3,5,41146
12,3,6,1941
12,3,7,57
12,4,8,22
12,4,4,1551033
12,4,5,249420
12,4,6,16975
12,4,7,854
12,5,8,175
12,5,5,657048
12,5,6,89551
12,5,7,6484
12,6,8,1371
12,6,6,210182
12,6,7,28966
12,7,8,5406
12,7,7,58465
12,8,8,9136
13,0,2,153
13,0,3,949
13,0,4,80
13,0,5,4
13,1,2,2375
13,1,3,29154
13,1,4,3141
13,1,5,154
13,1,6,8
13,2,2,21782
13,2,3,291107
13,2,4,47697
13,2,5,3140
13,2,6,142
13,2,7,1
13,3,3,1072405
13,3,4,390246
13,3,5,37500
13,3,6,1860
13,3,7,86
13,4,8,16
13,4,4,1553839
13,4,5,239622
13,4,6,17067
13,4,7,955
13,5,8,190
13,5,5,671090
13,5,6,88649
13,5,7,7062
13,6,8,1356
13,6,6,211075
13,6,7,29671
13,7,8,5385
13,7,7,57055
13,8,8,9163
14,0,2,133
14,0,3,1023
14,0,4,83
14,0,6,1
14,1,2,2582
14,1,3,29896
14,1,4,3246
14,1,5,183
14,1,6,12
14,2,2,21595
14,2,3,297789
14,2,4,48058
14,2,5,3424
14,2,6,146
14,2,7,6
14,3,3,1064907
14,3,4,391469
14,3,5,38736
14,3,6,1905
14,3,7,88
14,3,8,1
14,4,8,26
14,4,4,1552147
14,4,5,242378
14,4,6,17086
14,4,7,908
14,5,8,207
14,5,5,666789
14,5,6,89957
14,5,7,7004
14,6,8,1424
14,6,6,209694
14,6,7,30200
14,7,8,5572
14,7,7,56624
14,8,8,8880
15,0,2,131
15,0,3,912
15,0,4,117
15,0,5,3
15,1,2,2558
15,1,3,28784
15,1,4,3149
15,1,5,189
15,1,6,7
15,2,2,21621
15,2,3,292353
15,2,4,47956
15,2,5,3466
15,2,6,130
15,2,7,6
15,3,3,1071566
15,3,4,392846
15,3,5,39561
