lexicon,lev, length_count, neighbors
real,0,8,1
real,0,4,183
real,0,5,54
real,0,6,18
real,0,7,2
real,1,8,2
real,1,4,6953
real,1,5,1126
real,1,6,118
real,1,7,19
real,2,8,11
real,2,4,60291
real,2,5,8751
real,2,6,717
real,2,7,57
real,3,8,29
real,3,4,376449
real,3,5,54834
real,3,6,4738
real,3,7,428
real,4,8,136
real,4,4,1551127
real,4,5,245566
real,4,6,25807
real,4,7,2290
real,5,8,594
real,5,5,641179
real,5,6,95731
real,5,7,10529
real,6,8,2296
real,6,6,191672
real,6,7,32651
real,7,8,6047
real,7,7,48854
real,8,8,6994
0,0,8,7
0,0,4,1053
0,0,5,327
0,0,6,63
0,0,7,16
0,1,8,4
0,1,4,6729
0,1,5,1703
0,1,6,210
0,1,7,29
0,2,8,5
0,2,4,60234
0,2,5,9376
0,2,6,913
0,2,7,99
0,3,8,15
0,3,4,378603
0,3,5,59525
0,3,6,5205
0,3,7,384
0,4,8,91
0,4,4,1548384
0,4,5,253072
0,4,6,26818
0,4,7,1854
0,5,8,484
0,5,5,627507
0,5,6,96558
0,5,7,9594
0,6,8,2139
0,6,6,189034
0,6,7,31465
0,7,8,5811
0,7,7,51389
0,8,8,7554
1,0,4,1029
1,0,5,302
1,0,6,87
1,0,7,27
1,1,8,3
1,1,4,7117
1,1,5,1657
1,1,6,173
1,1,7,26
1,2,8,7
1,2,4,61634
1,2,5,9446
1,2,6,812
1,2,7,82
1,3,8,23
1,3,4,387037
1,3,5,59054
1,3,6,4787
1,3,7,359
1,4,8,93
1,4,4,1538186
1,4,5,256336
1,4,6,26209
1,4,7,1939
1,5,8,484
1,5,5,624715
1,5,6,94254
1,5,7,9545
1,6,8,1964
1,6,6,192479
1,6,7,31162
1,7,8,5875
1,7,7,51690
1,8,8,7661
2,0,8,1
2,0,4,1085
2,0,5,299
2,0,6,113
2,0,7,27
2,1,8,5
2,1,4,7342
2,1,5,1351
2,1,6,221
2,1,7,35
2,2,8,5
2,2,4,60976
2,2,5,8868
2,2,6,808
2,2,7,88
2,3,8,20
2,3,4,384594
2,3,5,55467
2,3,6,4747
2,3,7,388
2,4,8,88
2,4,4,1541006
2,4,5,245097
2,4,6,27083
2,4,7,2357
2,5,8,463
2,5,5,640428
2,5,6,97159
2,5,7,10407
2,6,8,1953
2,6,6,188670
2,6,7,31830
2,7,8,5901
2,7,7,49698
2,8,8,7674
3,0,8,3
3,0,4,1006
3,0,5,321
3,0,6,76
3,0,7,21
3,1,8,2
3,1,4,7685
3,1,5,1502
3,1,6,198
3,1,7,25
3,2,8,14
3,2,4,65534
3,2,5,9312
3,2,6,833
3,2,7,67
3,3,8,24
3,3,4,391987
3,3,5,58595
3,3,6,4757
3,3,7,418
3,4,8,85
3,4,4,1528791
3,4,5,253268
3,4,6,25710
3,4,7,2148
3,5,8,444
3,5,5,628512
3,5,6,95801
3,5,7,9284
3,6,8,1939
3,6,6,191426
3,6,7,31217
3,7,8,5850
3,7,7,51650
3,8,8,7749
4,0,8,3
4,0,4,1012
4,0,5,358
4,0,6,96
4,0,7,12
4,1,8,5
4,1,4,7435
4,1,5,1650
4,1,6,175
4,1,7,45
4,2,8,3
4,2,4,60617
4,2,5,9179
4,2,6,766
4,2,7,101
4,3,8,16
4,3,4,383863
4,3,5,57953
4,3,6,4749
4,3,7,423
4,4,8,87
4,4,4,1542076
4,4,5,249057
4,4,6,26424
4,4,7,2179
4,5,8,448
4,5,5,633313
4,5,6,94807
4,5,7,10202
4,6,8,1827
4,6,6,191784
4,6,7,32185
4,7,8,5593
4,7,7,49683
4,8,8,8128
5,0,8,1
5,0,4,1034
5,0,5,378
5,0,6,79
5,0,7,17
5,1,8,2
5,1,4,7327
5,1,5,1487
5,1,6,184
5,1,7,21
5,2,8,12
5,2,4,62574
5,2,5,8650
5,2,6,812
5,2,7,77
5,3,8,16
5,3,4,384277
5,3,5,56530
5,3,6,4881
5,3,7,300
5,4,8,85
5,4,4,1539791
5,4,5,245440
5,4,6,25941
5,4,7,1777
5,5,8,451
5,5,5,639025
5,5,6,95450
5,5,7,8589
5,6,8,1940
5,6,6,191454
5,6,7,30173
5,7,8,5609
5,7,7,53876
5,8,8,7994
6,0,8,1
6,0,4,967
6,0,5,319
6,0,6,79
6,0,7,15
6,1,8,3
6,1,4,7094
6,1,5,1639
6,1,6,174
6,1,7,35
6,2,8,6
6,2,4,59982
6,2,5,9089
6,2,6,904
6,2,7,75
6,3,8,24
6,3,4,383258
6,3,5,56419
6,3,6,5109
6,3,7,414
6,4,8,120
6,4,4,1543702
6,4,5,244134
6,4,6,27011
6,4,7,2002
6,5,8,537
6,5,5,639910
6,5,6,96941
6,5,7,9155
6,6,8,1996
6,6,6,188583
6,6,7,30291
6,7,8,5584
6,7,7,52843
6,8,8,7839
7,0,8,3
7,0,4,992
7,0,5,287
7,0,6,71
7,0,7,18
7,1,8,3
7,1,4,7433
7,1,5,1500
7,1,6,206
7,1,7,30
7,2,8,10
7,2,4,61038
7,2,5,9152
7,2,6,973
7,2,7,70
7,3,8,17
7,3,4,390203
7,3,5,60319
7,3,6,5242
7,3,7,359
7,4,8,84
7,4,4,1535337
7,4,5,252485
7,4,6,26164
7,4,7,1777
7,5,8,424
7,5,5,627767
7,5,6,96206
7,5,7,9073
7,6,8,1841
7,6,6,189939
7,6,7,31043
7,7,8,5662
7,7,7,52460
7,8,8,8066
8,0,8,2
8,0,4,1050
8,0,5,310
8,0,6,94
8,0,7,28
8,1,8,6
8,1,4,7101
8,1,5,1604
8,1,6,207
8,1,7,23
8,2,8,8
8,2,4,61369
8,2,5,8681
8,2,6,867
8,2,7,94
8,3,8,14
8,3,4,392954
8,3,5,57442
8,3,6,4664
8,3,7,375
8,4,8,93
8,4,4,1532529
8,4,5,246058
8,4,6,25468
8,4,7,2010
8,5,8,531
8,5,5,637415
8,5,6,95316
8,5,7,9591
8,6,8,2078
8,6,6,192185
8,6,7,31457
8,7,8,5846
8,7,7,51252
8,8,8,7532
9,0,8,2
9,0,4,1000
9,0,5,301
9,0,6,72
9,0,7,24
9,1,8,4
9,1,4,7176
9,1,5,1471
9,1,6,176
9,1,7,33
9,2,8,4
9,2,4,59237
9,2,5,8817
9,2,6,802
9,2,7,70
9,3,8,19
9,3,4,384464
9,3,5,57293
9,3,6,4866
9,3,7,355
9,4,8,77
9,4,4,1543126
9,4,5,248126
9,4,6,26417
9,4,7,1825
9,5,8,411
9,5,5,635502
9,5,6,95461
9,5,7,9167
9,6,8,1831
9,6,6,191007
9,6,7,30850
9,7,8,5510
9,7,7,52506
9,8,8,8252
10,0,8,3
10,0,4,1042
10,0,5,308
10,0,6,91
10,0,7,20
10,1,8,3
10,1,4,7609
10,1,5,1491
10,1,6,165
10,1,7,28
10,2,8,2
10,2,4,64931
10,2,5,8607
10,2,6,920
10,2,7,72
10,3,8,17
10,3,4,393781
10,3,5,55185
10,3,6,5053
10,3,7,379
10,4,8,73
10,4,4,1527640
10,4,5,246156
10,4,6,27873
10,4,7,2000
10,5,8,395
10,5,5,639763
10,5,6,97974
10,5,7,9459
10,6,8,1902
10,6,6,186725
10,6,7,30717
10,7,8,5773
10,7,7,52155
10,8,8,7942
11,0,8,2
11,0,4,946
11,0,5,330
11,0,6,71
11,0,7,27
11,1,8,5
11,1,4,7239
11,1,5,1395
11,1,6,199
11,1,7,40
11,2,8,4
11,2,4,62144
11,2,5,9195
11,2,6,920
11,2,7,67
11,3,8,31
11,3,4,389625
11,3,5,57205
11,3,6,5197
11,3,7,334
11,4,8,108
11,4,4,1535049
11,4,5,247938
11,4,6,27306
11,4,7,1797
11,5,8,601
11,5,5,635447
11,5,6,96857
11,5,7,8890
11,6,8,2164
11,6,6,188251
11,6,7,30250
11,7,8,5630
11,7,7,53425
11,8,8,7565
12,0,4,1005
12,0,5,357
12,0,6,87
12,0,7,22
12,1,8,4
12,1,4,7481
12,1,5,1660
12,1,6,219
12,1,7,39
12,2,8,4
12,2,4,61697
12,2,5,8948
12,2,6,938
12,2,7,101
12,3,8,24
12,3,4,384348
12,3,5,56310
12,3,6,4874
12,3,7,400
12,4,8,89
12,4,4,1540472
12,4,5,249252
12,4,6,25825
12,4,7,1903
12,5,8,504
12,5,5,634983
12,5,6,95651
12,5,7,9559
12,6,8,2008
12,6,6,191207
12,6,7,31427
12,7,8,5751
12,7,7,51379
12,8,8,7726
13,0,8,1
13,0,4,980
13,0,5,325
13,0,6,86
13,0,7,19
13,1,8,1
13,1,4,7672
13,1,5,1535
13,1,6,213
13,1,7,38
13,2,8,10
13,2,4,62356
13,2,5,8239
13,2,6,817
13,2,7,69
13,3,8,21
13,3,4,387926
13,3,5,53368
13,3,6,4916
13,3,7,326
13,4,8,87
13,4,4,1536069
13,4,5,247974
13,4,6,26251
13,4,7,1959
13,5,8,495
13,5,5,640069
13,5,6,94778
13,5,7,9647
13,6,8,2048
13,6,6,191740
13,6,7,31843
13,7,8,5846
13,7,7,50929
13,8,8,7601
14,0,8,2
14,0,4,1046
14,0,5,331
14,0,6,101
14,0,7,31
14,1,8,5
14,1,4,7131
14,1,5,1470
14,1,6,192
14,1,7,16
14,2,8,4
14,2,4,62365
14,2,5,8490
14,2,6,876
14,2,7,91
14,3,8,24
14,3,4,386697
14,3,5,55808
14,3,6,4875
14,3,7,336
14,4,8,105
14,4,4,1537764
14,4,5,241760
14,4,6,25903
14,4,7,1819
14,5,8,483
14,5,5,643651
14,5,6,92732
14,5,7,9066
14,6,8,1949
14,6,6,194122
14,6,7,30994
14,7,8,5544
14,7,7,52477
14,8,8,7994
15,0,8,7
15,0,4,1020
15,0,5,351
15,0,6,86
15,0,7,12
15,1,8,1
15,1,4,7143
15,1,5,1673
15,1,6,216
15,1,7,32
15,2,8,5
15,2,4,61288
15,2,5,9188
15,2,6,994
15,2,7,74
15,3,8,14
15,3,4,384455
15,3,5,57927
15,3,6,5340
15,3,7,367
15,4,8,90
15,4,4,1541097
15,4,5,249183
15,4,6,27865
15,4,7,2144
15,5,8,531
15,5,5,633188
15,5,6,96226
15,5,7,9883
15,6,8,2120
15,6,6,188074
15,6,7,31239
15,7,8,5785
15,7,7,51079
15,8,8,7557
16,0,8,1
16,0,4,1085
16,0,5,355
16,0,6,104
16,0,7,12
16,1,8,3
16,1,4,7603
16,1,5,1369
16,1,6,205
16,1,7,23
16,2,8,3
16,2,4,60770
16,2,5,8268
16,2,6,802
16,2,7,70
16,3,8,24
16,3,4,385257
16,3,5,54970
16,3,6,4715
16,3,7,365
16,4,8,108
16,4,4,1540288
16,4,5,244719
16,4,6,26796
16,4,7,2074
16,5,8,497
16,5,5,641829
16,5,6,96620
16,5,7,9856
16,6,8,2062
16,6,6,189559
16,6,7,32028
16,7,8,5726
16,7,7,50402
16,8,8,7686
17,0,8,3
17,0,4,1104
17,0,5,355
17,0,6,84
17,0,7,21
17,1,8,4
17,1,4,7548
17,1,5,1567
17,1,6,182
17,1,7,26
17,2,8,7
17,2,4,60752
17,2,5,9493
17,2,6,776
17,2,7,72
17,3,8,22
17,3,4,380361
17,3,5,59471
17,3,6,4693
17,3,7,420
17,4,8,82
17,4,4,1545238
17,4,5,251447
17,4,6,25274
17,4,7,2054
17,5,8,440
17,5,5,629177
17,5,6,96316
17,5,7,10333
17,6,8,1727
17,6,6,191476
17,6,7,32058
17,7,8,5480
17,7,7,49846
17,8,8,8345
