lexicon,homophones,mps,neighbors,avg_lev,num_words
real,655,27924,33998,4.77411078943,6684
0,650,27791,33733,4.77527678373,6684
1,648,27795,33773,4.77512432959,6684
2,655,27812,33775,4.77496444304,6684
3,651,27844,33864,4.7744679485,6684
4,647,27804,33763,4.7748209884,6684
5,653,27831,33786,4.77520895171,6684
6,657,27823,33764,4.77511492714,6684
7,652,27778,33769,4.77490117793,6684
8,642,27788,33717,4.77446902307,6684
9,646,27798,33749,4.77536010741,6684
10,661,27732,33676,4.77492960917,6684
11,658,27844,33777,4.77535939104,6684
12,664,27793,33705,4.77479228852,6684
13,663,27750,33700,4.77480679517,6684
14,667,27785,33737,4.77500160513,6684
15,656,27748,33717,4.77481069047,6684
16,650,27800,33766,4.77503263324,6684
17,638,27802,33755,4.77479000506,6684
18,653,27702,33663,4.77480536241,6684
19,646,27772,33731,4.77483079382,6684
20,659,27808,33715,4.7751691032,6684
21,653,27811,33745,4.77509648041,6684
22,664,27741,33695,4.77506822826,6684
23,660,27826,33764,4.77478082647,6684
24,646,27754,33699,4.77534730216,6684
25,646,27759,33702,4.7749327881,6684
26,657,27820,33765,4.77488998453,6684
27,659,27773,33723,4.77509455514,6684
28,661,27807,33753,4.7750540798,6684
29,657,27798,33729,4.77490511801,6684
