lexicon,lev, length_count, neighbors
real,0,2,94
real,0,3,303
real,0,4,183
real,0,5,54
real,0,6,18
real,0,7,2
real,0,8,1
real,1,2,2599
real,1,3,17107
real,1,4,6953
real,1,5,1126
real,1,6,118
real,1,7,19
real,1,8,2
real,2,2,21617
real,2,3,215976
real,2,4,60291
real,2,5,8751
real,2,6,717
real,2,7,57
real,2,8,11
real,3,3,1160229
real,3,4,376449
real,3,5,54834
real,3,6,4738
real,3,7,428
real,3,8,29
real,4,8,136
real,4,4,1551127
real,4,5,245566
real,4,6,25807
real,4,7,2290
real,5,8,594
real,5,5,641179
real,5,6,95731
real,5,7,10529
real,6,8,2296
real,6,6,191672
real,6,7,32651
real,7,8,6047
real,7,7,48854
real,8,8,6994
0,0,2,188
0,0,3,1636
0,0,4,348
0,0,5,26
0,1,2,2441
0,1,3,39487
0,1,4,8160
0,1,5,789
0,1,6,48
0,1,7,3
0,2,2,21681
0,2,3,335426
0,2,4,84008
0,2,5,10346
0,2,6,655
0,2,7,36
0,3,3,1017066
0,3,4,478899
0,3,5,79028
0,3,6,5651
0,3,7,434
0,3,8,8
0,4,8,72
0,4,4,1423588
0,4,5,320766
0,4,6,32117
0,4,7,3231
0,5,8,575
0,5,5,540555
0,5,6,111310
0,5,7,14329
0,6,8,2513
0,6,6,169020
0,6,7,37182
0,7,8,6279
0,7,7,39615
0,8,8,6663
1,0,2,200
1,0,3,1566
1,0,4,361
1,0,5,31
1,0,6,1
1,1,2,2852
1,1,3,40428
1,1,4,8724
1,1,5,793
1,1,6,48
1,1,7,3
1,2,2,21258
1,2,3,340342
1,2,4,86815
1,2,5,10803
1,2,6,603
1,2,7,41
1,3,3,1011279
1,3,4,485187
1,3,5,79992
1,3,6,5377
1,3,7,391
1,3,8,12
1,4,8,78
1,4,4,1413916
1,4,5,320522
1,4,6,31214
1,4,7,2801
1,5,8,578
1,5,5,539369
1,5,6,110469
1,5,7,13275
1,6,8,2660
1,6,6,171089
1,6,7,36877
1,7,8,6424
1,7,7,41442
1,8,8,6358
2,0,2,181
2,0,3,1671
2,0,4,335
2,0,5,16
2,0,6,1
2,1,2,2649
2,1,3,40747
2,1,4,8235
2,1,5,743
2,1,6,45
2,1,7,1
2,2,2,21480
2,2,3,345406
2,2,4,84975
2,2,5,9849
2,2,6,641
2,2,7,24
2,3,3,1005791
2,3,4,483633
2,3,5,76601
2,3,6,5406
2,3,7,364
2,3,8,10
2,4,8,77
2,4,4,1417825
2,4,5,315111
2,4,6,30934
2,4,7,2750
2,5,8,616
2,5,5,549190
2,5,6,109462
2,5,7,13253
2,6,8,2587
2,6,6,172312
2,6,7,36568
2,7,8,6447
2,7,7,41870
2,8,8,6373
3,0,2,194
3,0,3,1925
3,0,4,303
3,0,5,23
3,0,6,1
3,1,2,2547
3,1,3,44484
3,1,4,7879
3,1,5,723
3,1,6,49
3,1,7,3
3,2,2,21569
3,2,3,348545
3,2,4,81987
3,2,5,10492
3,2,6,616
3,2,7,35
3,3,3,998661
3,3,4,475323
3,3,5,77468
3,3,6,5110
3,3,7,406
3,3,8,14
3,4,8,133
3,4,4,1429511
3,4,5,316666
3,4,6,30921
3,4,7,2865
3,5,8,678
3,5,5,546138
3,5,6,109664
3,5,7,13965
3,6,8,2677
3,6,6,172440
3,6,7,36757
3,7,8,6437
3,7,7,40799
3,8,8,6171
4,0,2,195
4,0,3,1620
4,0,4,378
4,0,5,26
4,0,6,1
4,1,2,2892
4,1,3,39162
4,1,4,8306
4,1,5,750
4,1,6,40
4,1,7,2
4,2,2,21223
4,2,3,334788
4,2,4,85377
4,2,5,10934
4,2,6,528
4,2,7,30
4,3,3,1018045
4,3,4,482477
4,3,5,81485
4,3,6,5031
4,3,7,326
4,3,8,13
4,4,8,91
4,4,4,1418465
4,4,5,320725
4,4,6,29495
4,4,7,2634
4,5,8,606
4,5,5,537590
4,5,6,107521
4,5,7,13225
4,6,8,2515
4,6,6,176185
4,6,7,36693
4,7,8,6533
4,7,7,41920
4,8,8,6352
5,0,2,218
5,0,3,1574
5,0,4,329
5,0,5,20
5,0,6,3
5,1,2,3119
5,1,3,39781
5,1,4,8426
5,1,5,706
5,1,6,29
5,1,7,3
5,2,2,20973
5,2,3,337522
5,2,4,84426
5,2,5,10542
5,2,6,536
5,2,7,26
5,2,8,1
5,3,3,1014738
5,3,4,477846
5,3,5,78307
5,3,6,4824
5,3,7,371
5,3,8,13
5,4,8,116
5,4,4,1423976
5,4,5,317438
5,4,6,29383
5,4,7,2628
5,5,8,734
5,5,5,544497
5,5,6,109016
5,5,7,12864
5,6,8,2970
5,6,6,175010
5,6,7,36034
5,7,8,6505
5,7,7,42904
5,8,8,5771
6,0,2,193
6,0,3,1646
6,0,4,356
6,0,5,21
6,0,6,1
6,1,2,2888
6,1,3,42007
6,1,4,8577
6,1,5,775
6,1,6,24
6,1,7,1
6,2,2,21229
6,2,3,343474
6,2,4,86877
6,2,5,11004
6,2,6,571
6,2,7,41
6,3,3,1006488
6,3,4,485458
6,3,5,82393
6,3,6,5148
6,3,7,403
6,3,8,15
6,4,8,109
6,4,4,1413735
6,4,5,322002
6,4,6,30181
6,4,7,3049
6,5,8,709
6,5,5,535315
6,5,6,110285
6,5,7,14197
6,6,8,2830
6,6,6,172591
6,6,7,37467
6,7,8,6479
6,7,7,39672
6,8,8,5968
7,0,2,222
7,0,3,1656
7,0,4,380
7,0,5,26
7,0,6,2
7,1,2,3022
7,1,3,41287
7,1,4,8599
7,1,5,760
7,1,6,42
7,1,7,4
7,2,2,21066
7,2,3,346394
7,2,4,86892
7,2,5,10569
7,2,6,578
7,2,7,31
7,2,8,1
7,3,3,1004278
7,3,4,490279
7,3,5,79111
7,3,6,5231
7,3,7,314
7,3,8,7
7,4,8,100
7,4,4,1408853
7,4,5,318637
7,4,6,30818
7,4,7,2718
7,5,8,584
7,5,5,542407
7,5,6,111143
7,5,7,12958
7,6,8,2557
7,6,6,170987
7,6,7,36212
7,7,8,6290
7,7,7,42593
7,8,8,6571
8,0,2,177
8,0,3,1710
8,0,4,353
8,0,5,19
8,0,6,2
8,1,2,2638
8,1,3,41600
8,1,4,8513
8,1,5,735
8,1,6,55
8,1,7,1
8,2,2,21495
8,2,3,343578
8,2,4,87428
8,2,5,9905
8,2,6,682
8,2,7,15
8,2,8,1
8,3,3,1006727
8,3,4,484986
8,3,5,76030
8,3,6,5975
8,3,7,320
8,3,8,9
8,4,8,121
8,4,4,1413723
8,4,5,315996
8,4,6,32912
8,4,7,2575
8,5,8,698
8,5,5,548825
8,5,6,111729
8,5,7,12731
8,6,8,2835
8,6,6,167446
8,6,7,36668
8,7,8,6381
8,7,7,42520
8,8,8,6065
9,0,2,173
9,0,3,1700
9,0,4,325
9,0,5,21
9,1,2,2643
9,1,3,42294
9,1,4,8274
9,1,5,765
9,1,6,46
9,1,7,2
9,1,8,1
9,2,2,21494
9,2,3,346110
9,2,4,83782
9,2,5,9965
9,2,6,665
9,2,7,43
9,2,8,1
9,3,3,1003511
9,3,4,472153
9,3,5,75176
9,3,6,5497
9,3,7,393
9,3,8,17
9,4,8,113
9,4,4,1430469
9,4,5,310741
9,4,6,32142
9,4,7,2986
9,5,8,658
9,5,5,554842
9,5,6,111503
9,5,7,13519
9,6,8,2844
9,6,6,168948
9,6,7,36429
9,7,8,6458
9,7,7,41458
9,8,8,6018
10,0,2,193
10,0,3,1613
10,0,4,351
10,0,5,16
10,0,6,3
10,1,2,2694
10,1,3,39948
10,1,4,8054
10,1,5,750
10,1,6,46
10,1,7,4
10,2,2,21423
10,2,3,336971
10,2,4,83805
10,2,5,10211
10,2,6,621
10,2,7,36
10,2,8,1
10,3,3,1015083
10,3,4,480534
10,3,5,78024
10,3,6,5555
10,3,7,365
10,3,8,10
10,4,8,85
10,4,4,1422259
10,4,5,316739
10,4,6,31794
10,4,7,2806
10,5,8,568
10,5,5,545770
10,5,6,110429
10,5,7,12983
10,6,8,2504
10,6,6,170353
10,6,7,36162
10,7,8,6439
10,7,7,42474
10,8,8,6503
11,0,2,210
11,0,3,1668
11,0,4,327
11,0,5,22
11,1,2,3346
11,1,3,40938
11,1,4,8038
11,1,5,680
11,1,6,44
11,1,7,4
11,2,2,20754
11,2,3,342317
11,2,4,82885
11,2,5,9942
11,2,6,594
11,2,7,30
11,2,8,2
11,3,3,1008692
11,3,4,470973
11,3,5,75606
11,3,6,5335
11,3,7,359
11,3,8,16
11,4,8,121
11,4,4,1432780
11,4,5,314685
11,4,6,31807
11,4,7,2649
11,5,8,683
11,5,5,550575
11,5,6,111478
11,5,7,12752
11,6,8,2675
11,6,6,169543
11,6,7,35865
11,7,8,6232
11,7,7,43171
11,8,8,6381
12,0,2,194
12,0,3,1729
12,0,4,368
12,0,5,27
12,1,2,2842
12,1,3,43650
12,1,4,8661
12,1,5,791
12,1,6,31
12,2,2,21274
12,2,3,347763
12,2,4,86389
12,2,5,11004
12,2,6,556
12,2,7,34
12,3,3,1000473
12,3,4,487583
12,3,5,80662
12,3,6,4887
12,3,7,340
12,3,8,10
12,4,8,78
12,4,4,1412002
12,4,5,317830
12,4,6,30572
12,4,7,2636
12,5,8,585
12,5,5,541196
12,5,6,109981
12,5,7,12854
12,6,8,2505
12,6,6,172774
12,6,7,36337
12,7,8,6335
12,7,7,42629
12,8,8,6597
13,0,2,161
13,0,3,1645
13,0,4,343
13,0,5,25
13,0,6,1
13,1,2,2436
13,1,3,40489
13,1,4,8437
13,1,5,804
13,1,6,40
13,1,7,3
13,2,2,21713
13,2,3,338578
13,2,4,85380
13,2,5,10228
13,2,6,552
13,2,7,39
13,2,8,1
13,3,3,1012903
13,3,4,487167
13,3,5,77037
13,3,6,5196
13,3,7,414
13,3,8,7
13,4,8,113
13,4,4,1413676
13,4,5,312285
13,4,6,30661
13,4,7,2914
13,5,8,724
13,5,5,551131
13,5,6,109927
13,5,7,13886
13,6,8,2767
13,6,6,172424
13,6,7,36778
13,7,8,6374
13,7,7,40796
13,8,8,6124
14,0,2,204
14,0,3,1643
14,0,4,363
14,0,5,20
14,0,6,1
14,1,2,2822
14,1,3,40514
14,1,4,8750
14,1,5,734
14,1,6,47
14,1,7,1
14,2,2,21284
14,2,3,338623
14,2,4,86928
14,2,5,10153
14,2,6,639
14,2,7,35
14,2,8,2
14,3,3,1012835
14,3,4,488923
14,3,5,77675
14,3,6,5728
14,3,7,367
14,3,8,14
