lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words
real,511,1090,27924,33998,4.77411078943,6684
0,1603,4060,28164,34613,4.7629779661,6684
1,1603,4010,28744,35271,4.76135178866,6684
2,1598,3999,28401,34880,4.76152242088,6684
3,1639,4142,28972,35623,4.76198435019,6684
4,1630,4081,28634,34815,4.7565221491,6684
5,1611,4067,28656,35141,4.755604514,6684
6,1619,4059,29210,35656,4.75749145294,6684
7,1615,4083,28271,34567,4.75819578657,6684
8,1602,4073,28742,35546,4.75409604637,6684
9,1597,4050,28189,34405,4.76549169078,6684
10,1590,4003,28477,35085,4.76041275177,6684
11,1592,4007,29146,35647,4.75942791149,6684
12,1641,4121,28522,34828,4.75900103991,6684
13,1597,4066,28092,34431,4.763508802,6684
14,1609,4040,28343,35101,4.75996743347,6684
15,1609,4072,28699,35381,4.76031716012,6684
16,1595,4023,29123,35384,4.75713357749,6684
17,1617,4111,28439,35209,4.75845583169,6684
18,1595,4043,28044,34197,4.76526509155,6684
19,1625,4063,28331,34724,4.76355366515,6684
20,1634,4144,29241,35757,4.76013931935,6684
21,1580,4067,29920,36505,4.75616355727,6684
22,1590,4023,28798,35448,4.7618216429,6684
23,1587,4055,28919,35833,4.76034415861,6684
24,1631,4090,28695,34990,4.76105695445,6684
25,1584,4063,28022,34490,4.76177664542,6684
26,1608,4016,28837,35193,4.7698704601,6684
27,1651,4104,28063,34605,4.76159741667,6684
28,1621,4078,28556,34581,4.76628552685,6684
29,1621,4078,28713,35582,4.75962509446,6684
